,Nombre,Precio,Variacion,Maxima,Minima,Fecha
ACERINOX,"11,5900","0,87","11,7050","11,5100",2021-10-25 01:27:46.643674
ACS,"23,0600","0,04","23,3100","22,9400",2021-10-25 01:27:46.643674
AENA,"141,9500","0,67","142,7000","139,0500",2021-10-25 01:27:46.643674
ALMIRALL,"12,7100","-0,31","12,8400","12,6800",2021-10-25 01:27:46.643674
AMADEUS,"55,4000","-1,74","56,5800","55,0800",2021-10-25 01:27:46.643674
ARCELORMIT.,"27,2150","0,91","27,6950","27,1300",2021-10-25 01:27:46.643674
B.SANTANDER,"3,2820","-0,95","3,3420","3,2820",2021-10-25 01:27:46.643674
BA.SABADELL,"0,6540","1,18","0,6612","0,6420",2021-10-25 01:27:46.643674
BANKINTER,"4,7220","-1,32","4,8460","4,7040",2021-10-25 01:27:46.643674
BBVA,"5,6860","0,44","5,7270","5,6320",2021-10-25 01:27:46.643674
CAIXABANK,"2,5410","-0,35","2,5660","2,5000",2021-10-25 01:27:46.659299
CELLNEX,"54,6200","-0,33","55,0200","54,3400",2021-10-25 01:27:46.659299
CIE AUTOMOT.,"23,5400","-1,75","24,0800","23,5400",2021-10-25 01:27:46.659299
ENAGAS,"19,4850","0,93","19,4950","19,1500",2021-10-25 01:27:46.659299
ENDESA,"19,0650","-0,05","19,2250","18,9600",2021-10-25 01:27:46.659299
FERROVIAL,"27,1800","1,34","27,2300","26,7700",2021-10-25 01:27:46.659299
FLUIDRA,"36,9000","1,10","37,4500","36,4000",2021-10-25 01:27:46.659299
GRIFOLS CL.A,"20,2000","-0,93","20,5400","20,1500",2021-10-25 01:27:46.659299
IAG,"1,8515","-2,76","1,9160","1,8325",2021-10-25 01:27:46.659299
IBERDROLA,"9,7160","-0,37","9,8200","9,6560",2021-10-25 01:27:46.659299
INDITEX,"30,7600","-1,73","31,3700","30,7600",2021-10-25 01:27:46.674923
INDRA A,"9,5200","0,37","9,5600","9,4100",2021-10-25 01:27:46.674923
INM.COLONIAL,"8,3150","-0,18","8,4250","8,3150",2021-10-25 01:27:46.674923
MAPFRE,"1,8125","1,57","1,8170","1,7760",2021-10-25 01:27:46.674923
MELIA HOTELS,"6,3420","-0,60","6,4500","6,2160",2021-10-25 01:27:46.674923
