,Nombre,Precio,Variacion,Maxima,Minima,Fecha
7,B.SANTANDER,"3,2605",-0.72,"3,3000","3,2380",2021-11-08
33,TELEFONICA,"3,7630",-0.08,"3,7930","3,7470",2021-11-08
30,REPSOL,"10,8460",0.31,"11,0220","10,7440",2021-11-08
10,BBVA,"6,0430",0.28,"6,0890","5,9950",2021-11-08
